DISTRICT_NAME,COUNTY_NAME,FIELD_NAME,OPERATOR_NAME,OPERATOR_NO,LEASE_NAME,OG_CODE,LEASE_ID,WELL_NO,API,WB_Months_Inactive
7B,STEPHENS,STEPHENS COUNTY REGULAR (GAS),DBC OPERATING COMPANY LLC,195725,ALLEN,G,092535,3,42932798,235
7B,PARKER,RENO (CONGL.),FULLSPIKE ENERGY LLC,289935,SPRINGTIME GAS UNIT,G,092554,1,36732041,143
02,REFUGIO,REFUGIO HEARD (AREA),"BELLOWS OPERATING CO., L. C.",063857,LONGORIA UNIT,O,09272,1,39132850,68
03,GALVESTON,HITCHCOCK (4590),API OPERATING CO.,028656,"STEWART, MACO ET AL",G,092818,2,16730809,279
10,HUTCHINSON,"MORSE, SW (BROWN DOLOMITE)","PG-M INTERNATIONAL OPERATING,LLC",631795,ROBERTSON,G,092865,1036,23330627,72
10,COLLINGSWORTH,"PANHANDLE, EAST","SLT DAKOTA OPERATING, INC.",740337,EMMERT,G,093033,3082,08730176,39
10,COLLINGSWORTH,"PANHANDLE, EAST","SLT DAKOTA OPERATING, INC.",740337,EMMERT,G,093034,4099,08730154,36
10,COLLINGSWORTH,"PANHANDLE, EAST","SLT DAKOTA OPERATING, INC.",740337,EMMERT,G,093035,1100,08730152,122
04,SAN PATRICIO,ARANSAS PASS,"HIGH PLAINS GAS SYSTEMS, INC.",385551,GUSTAFSON,O,09309,1,40981257,279
01,MILAM,MINERVA-ROCKDALE,COMANCHE WELL SERVICE CORP.,169420,"WOODARD, MAGGIE",O,09320,1,33131890,182
01,MILAM,MINERVA-ROCKDALE,COMANCHE WELL SERVICE CORP.,169420,"WOODARD, MAGGIE",O,09320,8,33131889,249
01,DIMMIT,BLAKEWAY (STRICKLAND SAND),"TEXOWA, LLC",850822,BARANOWSKI UNIT,G,093362,1,12732098,144
08,PECOS,"PECOS VALLEY, SE. (YATES 1620)","MARTIN, BILLY RAY",528495,ATKINS,G,093399,2,37133183,273
7B,SHACKELFORD,SHACKELFORD COUNTY REGULAR,"MOORMAN, E. C.",582550,"ENGLISH, W. L.",O,09341,2,41782831,279
04,MUSTANG IS-LB,SAMEDAN (FRIO),"VTEX ENERGY, INC.",887727,STATE TRACT 818L,G,093473,A  7,70230159,279
04,MUSTANG IS-LB,SAMEDAN (FRIO),"VTEX ENERGY, INC.",887727,STATE TRACT 818L,G,093474,A  6,70230156,194
7B,BROWN,BROWN COUNTY REGULAR,K & W VANPELT COMPANY,448748,LEWIS,O,09349,5,04930461,44
10,WHEELER,"PANHANDLE, EAST",KIMBREL OIL CORPORATION,462131,WOODRUFF,G,093507,1,48330812,201
10,WHEELER,"PANHANDLE, EAST",KIMBREL OIL CORPORATION,462131,ROGERS,G,093508,1,48330811,279
7B,EASTLAND,"MANGUM, NORTH (3200)","JP OIL & GAS, LLC",448017,KERR,G,093521,4,13332409,200
02,JACKSON,"TEXANA, NORTH (5550)","SEQUOIA FOSSIL FUELS, INC.",767534,"SIMONS, T.K.",O,09363,2,23930383,106
02,JACKSON,"TEXANA, NORTH (MENEFEE A-1)","SEQUOIA FOSSIL FUELS, INC.",767534,MENEFEE,O,09364,6,23931825,106
06,UPSHUR,DELROSE (BOSSIER SAND),TRIPLE C SERVICES,870399,PARRISH -A-,G,093712,1,45930454,279
02,DE WITT,THOMASTON (YEGUA 4800),"APEX ENERGY, INC.",027424,LENTZ,O,09376,1T,12332012,47
01,BASTROP,ROSSER (SERPENTINE),"UNITED OPERATING, LLC",877448,"ROSSER, T I #2",O,09386,2,02130540,88
04,DUVAL,BENAVIDES (4530),LEMBCKE OIL & GAS LLC.,496235,MILLER-RUTLEDGE,G,093915,1A,13133633,54
02,VICTORIA,STAPP (FRIO 3300),"APEX ENERGY, INC.",027424,MCNEILL-GONZALES,O,09397,1,46934155,138
04,MUSTANG IS-LB,SAMEDAN (FRIO),"VTEX ENERGY, INC.",887727,STATE TRACT 818L,G,094002,A  5,70230155,206
7C,TERRELL,OZONA (CANYON SAND),PATNO OIL & GAS COMPANY,643327,"MITCHELL-STATE ""22""",G,094095,3,44330261,58
7C,TERRELL,OZONA (CANYON SAND),PATNO OIL & GAS COMPANY,643327,"MITCHELL-STATE ""22""",G,094097,4,44330271,61
7B,STEPHENS,STEPHENS COUNTY REGULAR (GAS),DBC OPERATING COMPANY LLC,195725,"TODD, R",G,094189,2,42932835,237
10,CARSON,PANHANDLE CARSON COUNTY FIELD,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BURNETT ""A""",O,09432,3,06530734,87
03,HARDIN,"SOUR LAKE, E. (YEGUA, LOWER)","BYNG ENERGY GROUP, INC.",118732,KIRBY LUMBER CO,G,094457,2,19931446,279
7C,RUNNELS,FREEMAN,HIDALGO OIL & EXPLORATION CORP.,385390,HATTIE,O,09446,1,39932165,36
04,WEBB,CAROLINA-TEX (2100 MIRANDO),"SEDCO OPERATING, LLC",763159,LAREDO NATIONAL BANK,G,094497,1A,47933007,212
02,BEE,LITTLE JOHN (2900),GULF SANDS OIL CO.,338530,"WINSAUER, ALBERT",G,094553,1,02531500,279
04,MUSTANG IS-LB,SAMEDAN (FRIO),"VTEX ENERGY, INC.",887727,STATE TRACT 818L,G,094611,A  2,70230139,279
10,WHEELER,PANHANDLE WHEELER COUNTY FIELD,"SLT DAKOTA OPERATING, INC.",740337,SHERIA,O,09472,1,48331012,54
7B,COLEMAN,"GLEN COVE, S. (PALO PINTO)",K & W VANPELT COMPANY,448748,"BERTRAND, O. C.",G,094998,1,08332518,234
7C,UPTON,SHIRK (GRAYBURG),"BUSTOS, MARTIN OIL",112687,BALLENGER,O,09501,1,46131856,279
01,DIMMIT,EVERGREEN FARMS (GEORGETOWN),PHOENIX OIL FIELD EQUIPMENT CO.,664142,"POWERS, T. J.",G,095080,1,12732127,279
7B,BROWN,BROWN CO. REGULAR (MARBLE FALLS),YELLOW ROSE OIL & GAS OPER. INC.,946964,"MURPHY,E.L.",G,095163,1,04932815,48
08,PECOS,PECOS VALLEY (YATES),B & B ENERGY (I),039783,"I.R.T. ""29""",G,095176,1,37133519,235
01,CALDWELL,"SALT FLAT, WEST",T. A. W. COMPANY,833750,MENDEZ UNIT,O,09518,1,05533489,279
05,NAVARRO,ROUND PRAIRIE (CVL),"WEATHERLY OIL & GAS, LLC",902815,SEALE GAS UNIT,G,095187,1,34930011,59
02,REFUGIO,MISSION RIVER (5300),"HIGH PLAINS GAS SYSTEMS, INC.",385551,SCANIO/SHELTON,O,09524,1,39132588,76
02,BEE,"BOLLAND RANCH, S. (PETTUS 4590)",TEPCO ENGINEERING,843104,BOLLAND RANCH,G,095248,2,02531483,279
